CategoryID,Category,ItemID,Item,Size,Price,Image,Note,Extra
CAT01,Cà phê,CP01,Cà phê đá,M,13000,assets/images/cà_phê_đá.jpg,,
CAT01,Cà phê,CP02,Cà phê đá,L,18000,assets/images/cà_phê_đá.jpg,,
CAT01,Cà phê,CP03,Cà phê sữa đá,M,15000,assets/images/cà_phê_sữa_đá.jpg,,
CAT01,Cà phê,CP04,Cà phê sữa đá,L,20000,assets/images/cà_phê_sữa_đá.jpg,,
CAT01,Cà phê,CP05,Bạc xỉu đá,M,15000,assets/images/bạc_xỉu_đá.jpg,,
CAT01,Cà phê,CP06,Bạc xỉu đá,L,20000,assets/images/bạc_xỉu_đá.jpg,,
CAT01,Cà phê,CP07,Ca cao sữa (Nóng/Đá),M,17000,assets/images/ca_cao_sữa_nóngđá.jpg,,
CAT01,Cà phê,CP08,Ca cao sữa (Nóng/Đá),L,22000,assets/images/ca_cao_sữa_nóngđá.jpg,,
CAT02,Matcha,M01,Matcha Cold Whisk,M,25000,assets/images/matcha_cold_whisk.jpg,,
CAT02,Matcha,M02,Matcha Cold Whisk,L,30000,assets/images/matcha_cold_whisk.jpg,,
CAT02,Matcha,M03,Matcha Oat Milk,M,28000,assets/images/matcha_oat_milk.jpg,,
CAT02,Matcha,M04,Matcha Latte,M,25000,assets/images/matcha_latte.jpg,,
CAT02,Matcha,M05,Matcha Latte Dâu Tây,M,28000,assets/images/matcha_latte_dâu_tây.jpg,,
CAT02,Matcha,M06,Oat Milk Khoai Môn,M,28000,assets/images/oat_milk_khoai_môn.jpg,,
CAT02,Matcha,M07,Latte Khoai Môn,M,25000,assets/images/latte_khoai_môn.jpg,,
CAT02,Matcha,M08,Matcha Oat Milk Khoai Môn,M,31000,assets/images/matcha_oat_milk_khoai_môn.jpg,,
CAT02,Matcha,M09,Matcha Latte Khoai Môn,M,28000,assets/images/matcha_latte_khoai_môn.jpg,,
CAT02,Matcha,M10,Hoa Anh Đào Latte (Sakura Latte),M,25000,assets/images/hoa_anh_đào_latte_sakura_latte.jpg,,
CAT02,Matcha,M11,Socola Latte,M,25000,assets/images/socola_latte.jpg,,
CAT02,Matcha,M12,Socola Oat Milk,M,28000,assets/images/socola_oat_milk.jpg,,
CAT02,Matcha,M13,Matcha Latte Chuối,M,28000,assets/images/matcha_latte_chuối.jpg,,
CAT03,Trà sữa & Trà,TS01,Trà sữa kem Cheese,M,24000,assets/images/trà_sữa_kem_cheese.jpg,,
CAT03,Trà sữa & Trà,TS02,Trà sữa kem Cheese,L,29000,assets/images/trà_sữa_kem_cheese.jpg,,
CAT03,Trà sữa & Trà,TS03,Trà sữa kem Cheese (full topping),M,29000,assets/images/trà_sữa_kem_cheese_full_topping.jpg,,
CAT03,Trà sữa & Trà,TS04,Trà sữa kem Cheese (full topping),L,34000,assets/images/trà_sữa_kem_cheese_full_topping.jpg,,
CAT03,Trà sữa & Trà,TS05,Trà sữa Socola,M,22000,assets/images/trà_sữa_socola.jpg,,
CAT03,Trà sữa & Trà,TS06,Trà sữa Socola,L,27000,assets/images/trà_sữa_socola.jpg,,
CAT03,Trà sữa & Trà,TS07,Trà sữa Dâu,M,20000,assets/images/trà_sữa_dâu.jpg,,
