CategoryID,Category,Item,Size,Price
coffee,Cà phê,Cà phê đá,M,13000
coffee,Cà phê,Cà phê đá,L,18000
coffee,Cà phê,Cà phê sữa đá,M,15000
coffee,Cà phê,Cà phê sữa đá,L,20000
coffee,Cà phê,Bạc xỉu đá,M,15000
coffee,Cà phê,Bạc xỉu đá,L,20000
coffee,Cà phê,Ca cao sữa (Nóng/Đá),M,17000
coffee,Cà phê,Ca cao sữa (Nóng/Đá),L,22000
matcha,Matcha,Matcha Cold Whisk,M,25000
matcha,Matcha,Matcha Cold Whisk,L,30000
matcha,Matcha,Matcha Oat Milk,M,28000
matcha,Matcha,Matcha Latte,M,25000
matcha,Matcha,Matcha Latte Dâu Tây,M,28000
matcha,Matcha,Oat Milk Khoai Môn,M,28000
matcha,Matcha,Latte Khoai Môn,M,25000
matcha,Matcha,Matcha Oat Milk Khoai Môn,M,31000
matcha,Matcha,Matcha Latte Khoai Môn,M,28000
matcha,Matcha,Hoa Anh Đào Latte (Sakura Latte),M,25000
matcha,Matcha,Socola Latte,M,25000
matcha,Matcha,Socola Oat Milk,M,28000
matcha,Matcha,Matcha Latte Chuối,M,28000
milk_tea,Trà sữa & Trà,Trà sữa kem Cheese,M,24000
milk_tea,Trà sữa & Trà,Trà sữa kem Cheese,L,29000
milk_tea,Trà sữa & Trà,Trà sữa kem Cheese (full topping),M,29000
milk_tea,Trà sữa & Trà,Trà sữa kem Cheese (full topping),L,34000
milk_tea,Trà sữa & Trà,Trà sữa Socola,M,22000
milk_tea,Trà sữa & Trà,Trà sữa Socola,L,27000
milk_tea,Trà sữa & Trà,Trà sữa Dâu,M,20000
milk_tea,Trà sữa & Trà,Trà sữa Dâu,L,25000
milk_tea,Trà sữa & Trà,Trà sữa Cà phê,M,20000
milk_tea,Trà sữa & Trà,Trà sữa Cà phê,L,25000
milk_tea,Trà sữa & Trà,Trà sữa Truyền thống,M,18000
milk_tea,Trà sữa & Trà,Trà sữa Truyền thống,L,23000
milk_tea,Trà sữa & Trà,Sữa tươi trân châu đường đen,M,22000
milk_tea,Trà sữa & Trà,Sữa tươi trân châu đường đen,L,27000
milk_tea,Trà sữa & Trà,Trà đào,M,20000
milk_tea,Trà sữa & Trà,Trà đào,L,25000
milk_tea,Trà sữa & Trà,Trà ổi hồng,M,22000
milk_tea,Trà sữa & Trà,Trà ổi hồng,L,27000
milk_tea,Trà sữa & Trà,Trà vải,M,20000
milk_tea,Trà sữa & Trà,Trà vải,L,25000
milk_tea,Trà sữa & Trà,Trà nhãn,M,20000
milk_tea,Trà sữa & Trà,Trà nhãn,L,25000
milk_tea,Trà sữa & Trà,Trà chanh,M,13000
milk_tea,Trà sữa & Trà,Trà chanh,L,18000
milk_tea,Trà sữa & Trà,Trà tắc,M,13000
milk_tea,Trà sữa & Trà,Trà tắc,L,18000
milk_tea,Trà sữa & Trà,Hồng trà trân châu,M,15000
milk_tea,Trà sữa & Trà,Hồng trà trân châu,L,20000
milk_tea,Trà sữa & Trà,Hồng trà kem Cheese trân châu,M,22000
milk_tea,Trà sữa & Trà,Hồng trà kem Cheese trân châu,L,27000
milk_tea,Trà sữa & Trà,Đá chanh,M,15000
milk_tea,Trà sữa & Trà,Đá chanh,L,20000
snack,Đồ ăn vặt,Bánh tráng bùi nhùi,,10000
snack,Đồ ăn vặt,Cá viên chiên,,10000
snack,Đồ ăn vặt,Bò viên chiên,,10000
snack,Đồ ăn vặt,Tôm viên chiên,,10000
snack,Đồ ăn vặt,Xúc xích chiên,,12000
snack,Đồ ăn vặt,Hồ lô chiên,,10000
snack,Đồ ăn vặt,Đậu hủ phô mai chiên,,12000
snack,Đồ ăn vặt,Thập cẩm chiên (vừa),,50000
snack,Đồ ăn vặt,Thập cẩm chiên (lớn),,75000
snack,Đồ ăn vặt,Hạt hướng dương,,10000
snack,Đồ ăn vặt,Hạt hướng dương vị Dừa,,15000
soda,Soda,Soda dâu,,22000
soda,Soda,Soda việt quất,,22000
soda,Soda,Soda chanh tươi,,22000
soda,Soda,Soda Hoa Anh Đào,,22000
topping,Topping,Trân châu đen,,5000
topping,Topping,Trân châu Ôlong,,5000
topping,Topping,Thạch sữa Phô mai,,5000
topping,Topping,Trân châu Phô mai,,5000
topping,Topping,Hạt nổ củ năng,,5000
topping,Topping,Thạch bi Phô mai,,5000
topping,Topping,Thạch dưa mini,,5000
new,Món mới,Trà Ô long Hoa Nhài hạt sen,L,29000
new,Món mới,Trà Ô long Quế Hoa,L,29000
new,Món mới,Trà Ô long Hoa Hồng - Vải,L,29000
new,Món mới,Trà sữa Ô long Hoa Nhài hạt sen,L,29000
new,Món mới,Trà sữa Ô long Quế Hoa,L,29000
new,Món mới,Trà sữa Ô long Hoa Hồng,L,29000
new,Món mới,Trà sữa Ô long Truyền Thống,L,29000
new,Món mới,Trà sữa Ô long kem Cheese,L,29000
healthy,Healthy,Matcha Oat Milk Cần Tây tươi,L,28000
healthy,Healthy,Oat Milk Cần Tây tươi (Không đường),L,25000
